size,throughput
51200,166.2985578796934
46208,176.2105007713508
41472,164.80424726995278
36992,151.7576041727715
32768,150.92384037084364
28800,134.66753951183017
25088,131.66443622241465
21632,121.56732390324393
18432,112.53246897409142
15488,101.06514340785657
12800,88.31518179198072
10368,77.33208252274143
8192,56.15305309265998
6272,51.60334862290968
4608,35.52990110776283
3200,24.50493474973944
2048,17.67233879605921
1152,10.790493128536783
512,4.855695121240949
128,1.2016652091400497
51200,196.03713984876043
46208,163.1716986886246
41472,176.73831887220223
36992,170.59639298361196
32768,160.10087000378263
28800,148.38804651847488
25088,131.45402148283992
21632,106.85163582095826
18432,72.4637059592992
15488,86.4382185511776
12800,90.2784597666259
10368,74.02225755166931
8192,58.139854248769545
6272,51.648232878192886
4608,39.731522388295836
3200,27.80461263422055
2048,18.18880562588313
1152,10.338987777106475
512,4.829724650351761
128,1.2469601058152504
51200,170.59274314463732
46208,186.7127061675789
41472,169.67514933311514
36992,168.74537723399752
32768,151.1506584331523
28800,151.0791366906475
25088,138.24112849900814
21632,113.68585837125829
18432,113.47847987910673
15488,100.73344740291579
12800,75.91249643409456
10368,57.63763281867885
8192,62.90287540733897
6272,49.54479925745996
4608,38.336399093247444
3200,24.776685771958512
2048,18.268735782731866
1152,10.349879968487851
512,4.709415601991568
128,1.1078055079445066
51200,198.21145135689676
46208,184.22239135950127
41472,180.33499730401962
36992,172.68113767463572
32768,161.81470625716835
28800,125.08065716980197
25088,139.53281423804228
21632,37.970294626217964
18432,110.07644197359276
15488,93.8745442507996
12800,89.9044232051567
10368,76.85281980742778
8192,61.44974203227341
6272,49.2721032655927
4608,36.38492074990583
3200,26.80533216291947
2048,18.87002775469597
1152,10.919097797502898
512,4.723581742277806
128,1.234065836160603
51200,196.19489203533044
46208,190.49846338355445
41472,182.15358667580244
36992,171.8246213566464
32768,162.74540589903393
28800,127.01132769678566
25088,139.77769730061007
21632,124.97129862946346
18432,108.85312087274914
15488,103.74920131088074
12800,81.91236867046311
10368,75.72897998524118
8192,59.6783956503456
6272,50.6956302096489
4608,39.33033686749253
3200,27.68961971005518
2048,18.832059963406675
1152,10.767084656693559
512,4.5477493039377235
128,1.2067485264431759
51200,192.2246625743838
46208,187.9450535228974
41472,179.70361383135452
36992,171.17152253309317
32768,150.28079415332724
28800,150.76955292639514
25088,129.97448483985028
21632,118.71419730742734
18432,111.13717837683765
15488,103.9109028415718
12800,90.4852666147665
