size,throughput
4608,33.46093120240895
3200,24.54047855893292
2048,16.645425081027174
1152,9.37811951976258
512,4.346493255525394
128,1.09614938595449
51200,173.87170170136176
46208,167.06261298274444
41472,159.77562373826876
36992,149.2924371928105
32768,142.42561902358318
28800,133.4021519037599
25088,121.82484764610192
21632,108.49703333760192
18432,98.28017450315076
15488,88.71342967923863
12800,77.62220584622943
10368,67.1300888440923
8192,55.526434704021696
6272,44.30669245101415
4608,34.92013390389649
3200,24.907801841725046
2048,16.53327962412358
1152,9.471076022119309
512,4.357226665087153
128,1.0987998467492055
51200,173.5740316976015
46208,161.77726853178012
41472,155.4585938554271
36992,147.30093718446463
32768,138.80192391779624
28800,128.47638226821994
25088,116.31508183040475
21632,108.27979892647186
18432,99.48186528497409
15488,91.4609661036967
12800,80.12551306635395
10368,67.43618112691355
8192,56.807103594080345
6272,45.59133532020062
4608,33.9109475745198
3200,24.51357106145525
2048,16.543029598231836
1152,9.463018541537677
512,4.337248693121863
128,1.0951202156985949
51200,174.31567479231921
46208,163.63132987798986
41472,160.0222253090707
36992,151.36727655345766
32768,142.7558778475765
28800,131.53602234024507
25088,119.64185652801126
21632,112.49587837613554
18432,102.4745269286754
15488,91.42358966907625
12800,80.005063611621
10368,65.35119012807766
8192,56.848768653558636
6272,45.52370497053606
4608,33.478439096571655
3200,24.563589187704473
2048,16.55640328326872
1152,9.317993968502178
512,4.3567257319287735
128,1.0802439164286053
51200,172.7366272498777
46208,167.24126017932056
41472,157.00526985280754
36992,149.48203951451129
32768,142.66565545911632
28800,133.32804253799452
25088,123.05881198803158
21632,111.58592532431899
18432,102.09577521526762
15488,91.39039180798142
12800,79.8938120219961
10368,65.80100628766218
8192,56.86192185277985
6272,45.746378198991636
4608,34.54498560831932
3200,25.23233346181267
2048,16.628372466032506
1152,9.620952419394365
512,4.287280278856975
128,1.102737458763015
51200,173.14846127832263
46208,167.31282608337858
41472,159.77562373826876
36992,151.33189176553097
32768,143.08162546658215
28800,133.47457627118644
25088,114.29222236142273
21632,108.87813236239023
18432,99.67455534034039
15488,88.79950604216283
12800,79.0209899504556
10368,67.36390855565901
8192,56.70959027465106
6272,45.599621941909916
4608,33.91323723034334
3200,24.503016395688487
2048,16.580552446672538
1152,9.628586597723967
512,4.235372810499022
128,1.103322642085623
